ID,Group,Category,Title,Current state,Local behavior,Upstream behavior,Local evidence,Upstream evidence,Classification,Impact,Disposition,Defect,Confidence,Provenance,Notes
STR-011,Structure,Testing,No vendor SwiftPM test target,Active,The specialized Package.swift defines production targets only.,"Upstream has direct package tests, including Qwen3-TTS fixture tests.",[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Tests/MLXAudioTTSTests.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Tests/MLXAudioTTSTests.swift),maintainability,The fork has more Qwen-specific behavior but less direct deterministic coverage.,Fix: add Qwen3RuntimeTests.,Yes — assurance gap,Confirmed in source,,
STR-012,Structure,Python policy,No repository-owned Python inference backend,Active,The product backend is native Swift/MLX; Python bridge/runtime paths are intentionally prohibited.,"Upstream Swift is also native, but the QwenVoice rule is a product-level packaging invariant.",[`docs/reference/mlx-audio-swift-patching.md`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/docs/reference/mlx-audio-swift-patching.md),[`README.md`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/README.md),product-specific,Supports local native distribution and avoids bundling Python.,Keep local,No,Confirmed in source,,
STR-013,Structure,CLI ownership,Standalone upstream tools removed; product CLI lives outside vendor,Active,"The vendor executable targets are removed, while VocelloCLI links the product engine through QwenVoiceCore.",Upstream ships generic TTS/STT/codec/STS/LID executables.,[`project.yml`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/project.yml),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),product-specific,One product-aware CLI rather than generic package tools.,Keep local,No,Confirmed in source,,
API-001,API,Prewarm,prepareForGeneration protocol requirement,Active,SpeechGenerationModel has an async prepareForGeneration operation with a default one-token warmup.,Current upstream SpeechGenerationModel does not expose this preparation requirement.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Generation.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Generation.swift),performance,Separates prewarming from user-visible synthesis.,Keep local; test cancellation and cache semantics.,No,Confirmed in source,,
API-002,API,Completion,Structured AudioGenerationFinishReason,Active,"Completion distinguishes eos, maxTokens, cancelled, and failed.",Current upstream generic API returns audio/events without this mode-specific completion object.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Generation.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Generation.swift),correctness,Prevents token-cap truncation from being silently treated as success.,Strong upstream candidate.,No,Confirmed in source,,
API-003,API,Completion,AudioGenerationCompletion result,Active,"Full-result mode returns audio, optional generation info, and finish reason.",Upstream full-result generation returns MLXArray.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Generation.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Generation.swift),correctness,Makes terminal state part of the type contract.,Keep local; upstreamable as an additive API.,No,Confirmed in source,,
API-004,API,Modes,Explicit Custom Voice APIs,Active,"The optimized protocol has prepare, stream, and full-result Custom Voice operations with separate speaker and instruction arguments.","Upstream routes Custom Voice through the generic voice string, including a 'speaker, instruction' compatibility convention.",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),product-specific,Removes ambiguous string parsing and enables mode-specific policy.,Keep local,No,Confirmed in source,,
API-005,API,Modes,Explicit Voice Design APIs,Active,"Voice Design has separate preparation, stream, and full-result methods.",Upstream uses the generic SpeechGenerationModel surface.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Generation.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Generation.swift),product-specific,Clear product contract and independent quality policy.,Keep local,No,Confirmed in source,,
API-006,API,Modes,Explicit Voice Clone APIs,Active,"Clone prompt creation, preparation, stream, and full-result generation are first-class operations.",Upstream has reusable reference conditioning but not the same persistent product artifact and mode-specific API.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),product-specific,Enables Saved Voices and repeatable clone conditioning.,Keep local,No,Confirmed in source,,
API-007,API,Prewarm,Custom Voice prewarm depth control,Active,A separate protocol allows the caller to select custom prewarm depth.,No equivalent upstream product policy.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Generation.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Generation.swift),performance,Avoids expensive decoder-bucket work when it will not amortize.,Keep local,No,Confirmed in source,,
API-008,API,Streaming,Chunk timing event,Active,AudioGeneration includes a chunkTimings event immediately before the corresponding audio chunk.,"Upstream has token, info, and audio events only.",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift),[`Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/Generation/GenerationTypes.swift),instrumentation,Enables per-chunk attribution and regression analysis.,Keep local; schema-version the payload.,No,Confirmed in source,,
API-009,API,Cancellation,PCM stream termination cancels producer,Active,"The local PCM buffer stream stores its producer task, checks cancellation around conversion, and cancels it on stream termination.",Current upstream launches an unretained task and has no matching onTermination cancellation in this helper.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Generation.swift),[`Sources/MLXAudioTTS/Generation.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Generation.swift),correctness,Prevents abandoned helper streams from continuing work.,Upstream candidate.,No,Confirmed in source,,
API-010,API,Diagnostics,SpeechGenerationModelDiagnosticsProvider integration,Active,"Qwen3TTS exposes load timings, preparation timings, boolean flags, string flags, and reset hooks consumed by Core.",No equivalent generic upstream diagnostics contract.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),instrumentation,Provides forensic visibility at the cost of stringly typed contracts.,Keep local; replace raw string dictionaries with typed schema.,No,Confirmed in source,,
TEL-001,Telemetry,KV cache,KVCacheDiagnostics type,Active,"Chunk telemetry carries cache type, sequence length, layers, attention heads, KV heads, head dimension, estimated dtype bytes, and estimated footprint.",Upstream event types do not expose KV cache diagnostics.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift),[`Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/Generation/GenerationTypes.swift),instrumentation,Supports trend detection; estimate is explicitly not allocator ground truth.,Keep local,No,Confirmed in source,,
TEL-002,Telemetry,Mimi,MimiDecoderStepTimings type,Active,"Per-frame decoder timings cover quantizer, pre-conv, transformer, upsample, initial conv, decoder blocks, output Snake, output conv, and total.",Upstream does not expose these substages.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift),[`Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/Generation/GenerationTypes.swift),instrumentation,Localizes decoder spikes.,Keep local,No,Confirmed in source,,
TEL-003,Telemetry,Chunk stages,ChunkSubstageTimings type,Active,"Each chunk can carry talker, code predictor, decoder, eval, EOS-read, audio materialization, KV, and Mimi breakdowns.",No upstream counterpart.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift),[`Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/Generation/GenerationTypes.swift),instrumentation,Rich performance evidence; adds API surface to a shared enum.,Keep local; version it.,No,Confirmed in source,,
TEL-004,Telemetry,Compatibility,Backward-compatible KV diagnostic decoding,Active,KVCacheDiagnostics decodes older rows without kvHeadCount by falling back to headCount.,No upstream equivalent because the type is local.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/Generation/GenerationTypes.swift),,compatibility,Preserves historical telemetry readability.,Keep local,No,Confirmed in source,,
LOD-001,Loading,Revision control,Revision-aware Hugging Face resolution,Active,ModelUtils accepts an explicit revision and passes it to downloadSnapshot.,Current upstream generic ModelUtils hardcodes main in its common download path.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/ModelUtils.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/ModelUtils.swift),[`Sources/MLXAudioCore/ModelUtils.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/ModelUtils.swift),correctness,Allows deterministic checkpoint resolution.,Strong upstream candidate.,No,Confirmed in source,,
LOD-002,Loading,Cache identity,Revision-separated model cache directory,Active,Non-main revisions are encoded into a cache-safe model-directory suffix.,Upstream uses a repository-derived directory without revision separation.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/ModelUtils.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/ModelUtils.swift),[`Sources/MLXAudioCore/ModelUtils.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/ModelUtils.swift),correctness,Prevents different revisions from aliasing one cache directory.,Strong upstream candidate.,No,Confirmed in source,,
LOD-003,Loading,Prepared directory,QwenPreparedLoadBehavior,Active,"Loading can trust a prepared checkpoint, skip repeat directory preparation, independently include encoders, and skip speech-tokenizer parameter evaluation.",Upstream exposes ordinary repository/local-directory loading without this capability profile.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift),[`Sources/MLXAudioTTS/TTSModel.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/TTSModel.swift),performance,Makes constrained-device and already-validated loads configurable.,Keep local,No,Confirmed in source,,
LOD-004,Loading,Prepared directory,preparePreparedDirectory API,Active,Qwen tokenizer preparation can be run before model construction.,Upstream generates/loads tokenizer during normal model-directory loading.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Supports staged model delivery and validation.,Keep local,No,Confirmed in source,,
LOD-005,Loading,Router,Qwen3-TTS-only TTS router,Active,TTS rejects all non-Qwen3-TTS model types.,Upstream routes many TTS families.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift),[`Sources/MLXAudioTTS/TTSModel.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/TTSModel.swift),product-specific,Eliminates unused model registry paths.,Keep local,No,Confirmed in source,,
LOD-006,Loading,Concurrency,Tokenizer load overlaps talker loading,Active,loadModelContents starts tokenizer loading with async let while it loads talker components.,Upstream performs a simpler sequential model-directory load.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Reduces cold-load wall time where work overlaps safely.,Keep local,No,Confirmed in source,,
LOD-007,Loading,Tokenizer,Direct strict tokenizer load with fallback,Active,"The loader constructs PreTrainedTokenizer directly from tokenizer files with strict mode, falling back to AutoTokenizer.",Upstream primarily uses AutoTokenizer in the reviewed Qwen loader.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids repeated generalized auto-resolution and records which path was used.,Keep local,No,Confirmed in source,,
LOD-008,Loading,Caching,Prepared tokenizer component cache,Active,"Tokenizers are cached by canonical prepared-directory key, with smaller iOS limits.",Upstream has a reference-audio cache but no equivalent prepared-component cache.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids repeated tokenizer reconstruction.,Keep local; use typed keys.,No,Confirmed in source,,
LOD-009,Loading,Caching,Prepared speech-tokenizer cache,Active,Speech tokenizers are cached separately by prepared directory and encoder inclusion.,No equivalent upstream cache.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Allows decoder-only and full-capability variants without key collision.,Keep local,No,Confirmed in source,,
LOD-010,Loading,Capability profile,Decoder-only speech-tokenizer loading,Active,"When the encoder is omitted, encoder weights are filtered before sanitization/update.",Upstream loads the speech tokenizer as a full model-directory component.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),memory,Reduces load cost for modes that do not need reference encoding.,Keep local,No,Confirmed in source,,
